,Scenario,Year,Groups,PM2.5 Exposure,NOx Exposure,SO2 Exposure
0,B: US NDC Carbon Cap,2045,<$25k,0.1588083250393514,0.2367412873603427,0.11846910429816905
1,B: US NDC Carbon Cap,2045,$25k-$50k,0.15704441706169497,0.2020937777638262,0.10742158540271532
2,B: US NDC Carbon Cap,2045,$50k-$75k,0.14243539289260984,0.1969247361252669,0.10296001404802865
3,B: US NDC Carbon Cap,2045,$75k-$100k,0.1297335287113364,0.20641969644380553,0.09539606573387927
4,B: US NDC Carbon Cap,2045,$100k-$125k,0.12866096278559608,0.22416157755274543,0.08580508190781419
5,B: US NDC Carbon Cap,2045,$125k-$150k,0.14122728364375073,0.2426368732270638,0.08454886099061579
6,B: US NDC Carbon Cap,2045,>$150k,0.13074798748900282,0.24973548809290375,0.07069571205855833
0,B: US NDC Carbon Cap,2050,<$25k,0.22526828706167856,0.2941765239783165,0.18932435930409183
1,B: US NDC Carbon Cap,2050,$25k-$50k,0.21952157954550372,0.25073513654014673,0.16572277732185306
2,B: US NDC Carbon Cap,2050,$50k-$75k,0.20835185233815767,0.2490556026616225,0.1675988758847061
3,B: US NDC Carbon Cap,2050,$75k-$100k,0.18924425061305458,0.25561162477839966,0.1551668725705674
4,B: US NDC Carbon Cap,2050,$100k-$125k,0.18701868391594118,0.27270873011009067,0.1395342097671562
5,B: US NDC Carbon Cap,2050,$125k-$150k,0.20497760645332216,0.29286938714755734,0.13643824611307184
6,B: US NDC Carbon Cap,2050,>$150k,0.18799115174918124,0.296219816212125,0.10666232481730809
0,C: 1.5C Pathway Carbon Cap,2020,<$25k,0.6686010976620868,0.7356223143796011,0.5692773496488889
1,C: 1.5C Pathway Carbon Cap,2020,$25k-$50k,0.6493725778377133,0.6257026630720848,0.5003268232811006
2,C: 1.5C Pathway Carbon Cap,2020,$50k-$75k,0.6054878903339286,0.6235860593257166,0.48550801803340116
3,C: 1.5C Pathway Carbon Cap,2020,$75k-$100k,0.5485677606993157,0.6339175976822622,0.4148095002875818
4,C: 1.5C Pathway Carbon Cap,2020,$100k-$125k,0.5555107927428634,0.6829566433727018,0.36856064757814494
5,C: 1.5C Pathway Carbon Cap,2020,$125k-$150k,0.6331404008014926,0.7462874104630683,0.3729513662093334
6,C: 1.5C Pathway Carbon Cap,2020,>$150k,0.60929091759716,0.7807090285795577,0.3155706855857474
0,C: 1.5C Pathway Carbon Cap,2026,<$25k,0.2766578080875209,0.3694192698386941,0.21389379919518164
1,C: 1.5C Pathway Carbon Cap,2026,$25k-$50k,0.27128177540585163,0.3138274974275418,0.19170426834091403
2,C: 1.5C Pathway Carbon Cap,2026,$50k-$75k,0.24707858140160982,0.31029703497564404,0.18136283292400515
3,C: 1.5C Pathway Carbon Cap,2026,$75k-$100k,0.22144343375725042,0.3219515748522924,0.15385691612364255
4,C: 1.5C Pathway Carbon Cap,2026,$100k-$125k,0.22016778836616716,0.35059990351204035,0.1341531102825487
5,C: 1.5C Pathway Carbon Cap,2026,$125k-$150k,0.24591174758324316,0.38185415238158804,0.12977663689444754
6,C: 1.5C Pathway Carbon Cap,2026,>$150k,0.23280960754348204,0.39903643138449424,0.10738257217813155
0,C: 1.5C Pathway Carbon Cap,2030,<$25k,0.040149271003709346,0.1262275818297621,0.022153002110779398
1,C: 1.5C Pathway Carbon Cap,2030,$25k-$50k,0.037766835107767016,0.1052454494347853,0.017963277335650483
2,C: 1.5C Pathway Carbon Cap,2030,$50k-$75k,0.03712402534816771,0.10541486043230372,0.018499065066071144
3,C: 1.5C Pathway Carbon Cap,2030,$75k-$100k,0.037284926520547844,0.11719699048094585,0.01846806773490575
4,C: 1.5C Pathway Carbon Cap,2030,$100k-$125k,0.03990775608157054,0.13340250909676077,0.018431326705679263
5,C: 1.5C Pathway Carbon Cap,2030,$125k-$150k,0.044446259713467315,0.1475366847923849,0.0187001582222102
6,C: 1.5C Pathway Carbon Cap,2030,>$150k,0.04229320068736275,0.15565710541585093,0.018429874003062823
0,C: 1.5C Pathway Carbon Cap,2035,<$25k,0.01497992399178638,0.050613354159622835,0.005888828140856929
1,C: 1.5C Pathway Carbon Cap,2035,$25k-$50k,0.015262382774095303,0.04482139812956794,0.005533297270943067
2,C: 1.5C Pathway Carbon Cap,2035,$50k-$75k,0.014552744076599136,0.043377653829200294,0.005581784144652715
3,C: 1.5C Pathway Carbon Cap,2035,$75k-$100k,0.015008879547383886,0.04737428585258566,0.006207676495180033
4,C: 1.5C Pathway Carbon Cap,2035,$100k-$125k,0.016207544928411168,0.05311078903333838,0.006892443740614468
5,C: 1.5C Pathway Carbon Cap,2035,$125k-$150k,0.017575246982568387,0.0579351825168616,0.007288708851776852
6,C: 1.5C Pathway Carbon Cap,2035,>$150k,0.016477101246927313,0.06038806940642822,0.007338549918056088
0,C: 1.5C Pathway Carbon Cap,2040,<$25k,0.01854470588070812,0.06468406885536049,0.007132527171246651
1,C: 1.5C Pathway Carbon Cap,2040,$25k-$50k,0.01853340215470531,0.05724960175998541,0.006452900059945124
2,C: 1.5C Pathway Carbon Cap,2040,$50k-$75k,0.01720916909845974,0.05414106610157327,0.006247609516602435
3,C: 1.5C Pathway Carbon Cap,2040,$75k-$100k,0.01731594604011889,0.057890853205447776,0.006737546261994817
4,C: 1.5C Pathway Carbon Cap,2040,$100k-$125k,0.01932390230925348,0.06631739034801863,0.007686835590120971
5,C: 1.5C Pathway Carbon Cap,2040,$125k-$150k,0.022979089145391745,0.07649235996381294,0.008862592857062155
6,C: 1.5C Pathway Carbon Cap,2040,>$150k,0.019654311832520623,0.0758207003160983,0.008223748766859622
0,C: 1.5C Pathway Carbon Cap,2045,<$25k,0.012965708850400107,0.044323342840086176,0.004874869420060221
1,C: 1.5C Pathway Carbon Cap,2045,$25k-$50k,0.01295880136561234,0.03941235617953529,0.004417033533520125
2,C: 1.5C Pathway Carbon Cap,2045,$50k-$75k,0.011810790394439205,0.036869818804751986,0.004223187471089967
3,C: 1.5C Pathway Carbon Cap,2045,$75k-$100k,0.011660013948266247,0.03890729480867031,0.0044573853885128386
4,C: 1.5C Pathway Carbon Cap,2045,$100k-$125k,0.012823306091188577,0.044243608636945375,0.005007133292248747
5,C: 1.5C Pathway Carbon Cap,2045,$125k-$150k,0.015006368064678144,0.050437696762866746,0.00568400712425539
6,C: 1.5C Pathway Carbon Cap,2045,>$150k,0.012918097114401105,0.05020600490178227,0.0052757401067181475
0,C: 1.5C Pathway Carbon Cap,2050,<$25k,0.005867666874461364,0.017134150862894888,0.0019487011476500228
1,C: 1.5C Pathway Carbon Cap,2050,$25k-$50k,0.006172581159864855,0.01607517211023552,0.0019228965308386722
2,C: 1.5C Pathway Carbon Cap,2050,$50k-$75k,0.005192495378846657,0.013822150650141128,0.001710594325240767
3,C: 1.5C Pathway Carbon Cap,2050,$75k-$100k,0.0047764101723036575,0.01331262105182779,0.0016804031224528673
4,C: 1.5C Pathway Carbon Cap,2050,$100k-$125k,0.004974269046962242,0.014386489344635047,0.0017802184041144406
5,C: 1.5C Pathway Carbon Cap,2050,$125k-$150k,0.00568313283243628,0.016435374516876843,0.0019594464015306387
6,C: 1.5C Pathway Carbon Cap,2050,>$150k,0.0047377848208623,0.015657070046702096,0.0017705530236043817
0,D: 80% RE 2050 Mandate,2020,<$25k,1.0088538438745667,1.0394624181530037,0.8422574088152572
1,D: 80% RE 2050 Mandate,2020,$25k-$50k,0.9903548536788342,0.8981430011808392,0.7630042114378716
2,D: 80% RE 2050 Mandate,2020,$50k-$75k,0.9293067330667261,0.8931149473652832,0.7423032700783514
3,D: 80% RE 2050 Mandate,2020,$75k-$100k,0.8474453611894205,0.9016490547782754,0.649593121296105
4,D: 80% RE 2050 Mandate,2020,$100k-$125k,0.8639220996186489,0.9701549663883223,0.6029920538800941
5,D: 80% RE 2050 Mandate,2020,$125k-$150k,0.9837233043212853,1.066910397385551,0.6356716696815287
6,D: 80% RE 2050 Mandate,2020,>$150k,0.9372179146743443,1.1027529491050254,0.5425255161460563
0,D: 80% RE 2050 Mandate,2026,<$25k,0.9215286456835148,0.9373594806473439,0.7631207546817476
1,D: 80% RE 2050 Mandate,2026,$25k-$50k,0.894011496276307,0.8003795868784457,0.6796579309010299
2,D: 80% RE 2050 Mandate,2026,$50k-$75k,0.8267831839664249,0.7896895938703816,0.6531309937292968
3,D: 80% RE 2050 Mandate,2026,$75k-$100k,0.7384568294547269,0.7845154236318995,0.5495375902996557
4,D: 80% RE 2050 Mandate,2026,$100k-$125k,0.7390825532799324,0.8339363814964201,0.48643166966317647
5,D: 80% RE 2050 Mandate,2026,$125k-$150k,0.8314827836569136,0.9088697847310984,0.49250618808366936
6,D: 80% RE 2050 Mandate,2026,>$150k,0.7895436841294771,0.9382642994720125,0.40345784846782784
0,D: 80% RE 2050 Mandate,2030,<$25k,0.7887830282402852,0.8135518352279817,0.6619889975771371
1,D: 80% RE 2050 Mandate,2030,$25k-$50k,0.7654268888408398,0.6931827485840638,0.5861091614151364
2,D: 80% RE 2050 Mandate,2030,$50k-$75k,0.7046102402492098,0.6816873958042531,0.5628673574097093
3,D: 80% RE 2050 Mandate,2030,$75k-$100k,0.6242149875471419,0.6746618627828063,0.4747495751171733
