,Scenario,Year,Groups,PM2.5 Exposure,NOx Exposure,SO2 Exposure
5,C: 1.5C Pathway Carbon Cap,2035,70-100%,0.012482068779602421,0.04121227573350606,0.004801545424440962
0,C: 1.5C Pathway Carbon Cap,2040,0-10%,0.01786678453545611,0.05877700697424529,0.006702541109336461
1,C: 1.5C Pathway Carbon Cap,2040,10-20%,0.017874546973875093,0.054559661757962154,0.006171757935427643
2,C: 1.5C Pathway Carbon Cap,2040,20-30%,0.018949206737133385,0.05920117974387952,0.006812818668622522
3,C: 1.5C Pathway Carbon Cap,2040,30-50%,0.018248232433083673,0.06171852504189699,0.0072273937347697385
4,C: 1.5C Pathway Carbon Cap,2040,50-70%,0.017706620414255414,0.06314838256734283,0.007039258280841776
5,C: 1.5C Pathway Carbon Cap,2040,70-100%,0.01531867691314323,0.051961779933617794,0.005591367964120642
0,C: 1.5C Pathway Carbon Cap,2045,0-10%,0.012163962612403628,0.03991960226739173,0.004515241893366989
1,C: 1.5C Pathway Carbon Cap,2045,10-20%,0.0123366632503062,0.037240115937399544,0.0041722038219640266
2,C: 1.5C Pathway Carbon Cap,2045,20-30%,0.013195015160747302,0.040468942823508804,0.00460657120054359
3,C: 1.5C Pathway Carbon Cap,2045,30-50%,0.012591360329417699,0.04190671568150484,0.004832160596125565
4,C: 1.5C Pathway Carbon Cap,2045,50-70%,0.012200201869091439,0.042868586865870424,0.004693170895581207
5,C: 1.5C Pathway Carbon Cap,2045,70-100%,0.010469760453926396,0.0350970421274858,0.0037309143173840827
0,C: 1.5C Pathway Carbon Cap,2050,0-10%,0.005059191255035431,0.01407715669642961,0.001718265210833453
1,C: 1.5C Pathway Carbon Cap,2050,10-20%,0.005715053467057421,0.014720702617327143,0.0017814064030027045
2,C: 1.5C Pathway Carbon Cap,2050,20-30%,0.0062572178129629424,0.016304445770538186,0.0019939469439704638
3,C: 1.5C Pathway Carbon Cap,2050,30-50%,0.005727511655752482,0.01618215663544885,0.001976721013905872
4,C: 1.5C Pathway Carbon Cap,2050,50-70%,0.005312020313069012,0.015908596701230376,0.0017905970483986294
5,C: 1.5C Pathway Carbon Cap,2050,70-100%,0.004434026875716774,0.012985217832603979,0.0014054365716171578
0,D: 80% RE 2050 Mandate,2020,0-10%,0.9523704980097688,0.9658506975397445,0.7430460532575022
1,D: 80% RE 2050 Mandate,2020,10-20%,0.9461381908214275,0.8661012839343741,0.7187752471755544
2,D: 80% RE 2050 Mandate,2020,20-30%,0.9328344364732883,0.8662060037747323,0.6938965187516716
3,D: 80% RE 2050 Mandate,2020,30-50%,0.8825666764095794,0.9050426734277669,0.7183997636845979
4,D: 80% RE 2050 Mandate,2020,50-70%,0.9757903081896941,1.0434482726041052,0.8440525758086853
5,D: 80% RE 2050 Mandate,2020,70-100%,1.1999410483335757,1.1514621812884767,1.1231506226135348
0,D: 80% RE 2050 Mandate,2026,0-10%,0.8387225870930085,0.8488242883941635,0.6423538328434313
1,D: 80% RE 2050 Mandate,2026,10-20%,0.8460026825398628,0.7670000420178233,0.6330815676444893
2,D: 80% RE 2050 Mandate,2026,20-30%,0.839216204880971,0.76660182236931,0.6105076986066458
3,D: 80% RE 2050 Mandate,2026,30-50%,0.7924770167324519,0.7996731202812619,0.6304968543168248
4,D: 80% RE 2050 Mandate,2026,50-70%,0.8875716798920822,0.9397391283124188,0.7645972017344869
5,D: 80% RE 2050 Mandate,2026,70-100%,1.1149859247939065,1.0618450457718775,1.0529295411162056
0,D: 80% RE 2050 Mandate,2030,0-10%,0.7105469118333059,0.7304513487826445,0.5524712201836697
1,D: 80% RE 2050 Mandate,2030,10-20%,0.7224965997178499,0.6625481088955985,0.5446482036818514
2,D: 80% RE 2050 Mandate,2030,20-30%,0.717648066660299,0.663597469706074,0.5277010308653906
3,D: 80% RE 2050 Mandate,2030,30-50%,0.6778352479194665,0.6932362717150446,0.5472829155419224
4,D: 80% RE 2050 Mandate,2030,50-70%,0.7583258690906013,0.8153946173849452,0.6657997359704071
5,D: 80% RE 2050 Mandate,2030,70-100%,0.9502146844200967,0.9153811686896524,0.9056564431430979
0,D: 80% RE 2050 Mandate,2035,0-10%,0.513908773259416,0.5463026635594064,0.39902888676414755
1,D: 80% RE 2050 Mandate,2035,10-20%,0.529033390124295,0.4991343737004258,0.3954003714786383
2,D: 80% RE 2050 Mandate,2035,20-30%,0.5277748560630194,0.5027167933873951,0.38531189581951975
3,D: 80% RE 2050 Mandate,2035,30-50%,0.49561461075205704,0.5225348276156297,0.3954901506492734
4,D: 80% RE 2050 Mandate,2035,50-70%,0.5505745186065234,0.6069390009715043,0.4719072229262456
5,D: 80% RE 2050 Mandate,2035,70-100%,0.675040997999336,0.6649407294578731,0.6308857918005022
0,D: 80% RE 2050 Mandate,2040,0-10%,0.30369992624523956,0.35009945047849567,0.23879906145697413
1,D: 80% RE 2050 Mandate,2040,10-20%,0.3166289765729149,0.3214932726520658,0.23632839054491853
2,D: 80% RE 2050 Mandate,2040,20-30%,0.31897771536829866,0.32744717873480006,0.23416434470286898
3,D: 80% RE 2050 Mandate,2040,30-50%,0.29810534969018526,0.3399777694529355,0.2409896470789486
4,D: 80% RE 2050 Mandate,2040,50-70%,0.32443174555848336,0.3872134093764873,0.2806836466006178
5,D: 80% RE 2050 Mandate,2040,70-100%,0.38338953407753823,0.40432062260576873,0.3523667062581778
0,D: 80% RE 2050 Mandate,2045,0-10%,0.1842443560783461,0.2295762179711127,0.14616679841464653
1,D: 80% RE 2050 Mandate,2045,10-20%,0.18393028934017308,0.20492653627250612,0.13822698462975513
2,D: 80% RE 2050 Mandate,2045,20-30%,0.18074773124401428,0.20661350737430012,0.1339339006704456
3,D: 80% RE 2050 Mandate,2045,30-50%,0.17280209408874156,0.2187681715874043,0.14323092398395956
4,D: 80% RE 2050 Mandate,2045,50-70%,0.18914284508278795,0.24997234797443899,0.16859605281498813
5,D: 80% RE 2050 Mandate,2045,70-100%,0.22592444305514353,0.25170365689057944,0.19970968957684243
0,D: 80% RE 2050 Mandate,2050,0-10%,0.10693135385594667,0.14301732779629597,0.09087373854838861
1,D: 80% RE 2050 Mandate,2050,10-20%,0.10105485620998575,0.12461105250035019,0.07873924942539132
2,D: 80% RE 2050 Mandate,2050,20-30%,0.09592326773648706,0.1242455333249793,0.07423103846131288
3,D: 80% RE 2050 Mandate,2050,30-50%,0.09302252950896993,0.13146016194383345,0.08092721222249905
4,D: 80% RE 2050 Mandate,2050,50-70%,0.10108602094702232,0.14790509724380357,0.09363830188956597
5,D: 80% RE 2050 Mandate,2050,70-100%,0.12605352758690144,0.1485007252028083,0.10930868436037927
0,E: 100% RE 2035 Mandate,2020,0-10%,0.9523704980097688,0.9658506975397445,0.7430460532575022
1,E: 100% RE 2035 Mandate,2020,10-20%,0.9461381908214275,0.8661012839343741,0.7187752471755544
2,E: 100% RE 2035 Mandate,2020,20-30%,0.9328344364732883,0.8662060037747323,0.6938965187516716
3,E: 100% RE 2035 Mandate,2020,30-50%,0.8825666764095794,0.9050426734277669,0.7183997636845979
4,E: 100% RE 2035 Mandate,2020,50-70%,0.9757903081896941,1.0434482726041052,0.8440525758086853
5,E: 100% RE 2035 Mandate,2020,70-100%,1.1999410483335757,1.1514621812884767,1.1231506226135348
0,E: 100% RE 2035 Mandate,2026,0-10%,0.29935179065076284,0.3539514404310813,0.22595165404164597
1,E: 100% RE 2035 Mandate,2026,10-20%,0.3055413213515868,0.3178984468611639,0.2235951803336602
2,E: 100% RE 2035 Mandate,2026,20-30%,0.3036183750970147,0.31990936322360874,0.21572294603643732
3,E: 100% RE 2035 Mandate,2026,30-50%,0.2833655230839936,0.3319290634073248,0.21806536937622878
4,E: 100% RE 2035 Mandate,2026,50-70%,0.31411051770637355,0.38222188460982,0.25918410099252637
5,E: 100% RE 2035 Mandate,2026,70-100%,0.3881222444410446,0.4106375921286071,0.3525145597243155
0,E: 100% RE 2035 Mandate,2030,0-10%,0.04937603296799675,0.09872769827718934,0.035953763743404185
1,E: 100% RE 2035 Mandate,2030,10-20%,0.04603347397844278,0.08465774441158208,0.03209214593469499
2,E: 100% RE 2035 Mandate,2030,20-30%,0.0442157831955987,0.08583281249110758,0.02974023133676682
3,E: 100% RE 2035 Mandate,2030,30-50%,0.04295006739657229,0.09080989848763378,0.030366219218619317
4,E: 100% RE 2035 Mandate,2030,50-70%,0.04814985728671669,0.10301727496180411,0.03606718996311173
5,E: 100% RE 2035 Mandate,2030,70-100%,0.056812247369441286,0.09770734824954963,0.05640657180697024
0,E: 100% RE 2035 Mandate,2035,0-10%,0.0027034688406187514,3.573557839810452e-15,0.0010563942677696409
1,E: 100% RE 2035 Mandate,2035,10-20%,0.0031126357695140335,4.732357547416101e-15,0.0010981861708691605
2,E: 100% RE 2035 Mandate,2035,20-30%,0.0034051966542753766,4.342536472692029e-15,0.001181289068972086
3,E: 100% RE 2035 Mandate,2035,30-50%,0.003079966778521027,3.314354168828911e-15,0.0011135238773788015
4,E: 100% RE 2035 Mandate,2035,50-70%,0.0029382865316607116,2.7715985979515477e-15,0.001095536618878777
5,E: 100% RE 2035 Mandate,2035,70-100%,0.0024746754416946717,4.226482264225276e-15,0.0009724680502114908
0,E: 100% RE 2035 Mandate,2040,0-10%,0.005524909381461107,8.80114517651083e-14,0.0017967358293340758
1,E: 100% RE 2035 Mandate,2040,10-20%,0.006493547264365682,5.051821770489824e-14,0.001999807759389131
2,E: 100% RE 2035 Mandate,2040,20-30%,0.007327746605982262,5.992233950140831e-14,0.002226677028468257
3,E: 100% RE 2035 Mandate,2040,30-50%,0.006765883809092426,8.220657511906615e-14,0.0021496719627011203
4,E: 100% RE 2035 Mandate,2040,50-70%,0.006763416581838421,1.0323824888379242e-13,0.0022556082399065457
