,Scenario,Year,Groups,PM2.5 Exposure,NOx Exposure,SO2 Exposure,,,
1,C: 1.5C Pathway Carbon Cap,2035,Black,0.017287321,0.059165494,0.006290684,,,
2,C: 1.5C Pathway Carbon Cap,2035,Asian,0.014860908,0.045868241,0.006921759,,,
3,C: 1.5C Pathway Carbon Cap,2035,Latinx/Hispanic,0.015898466,0.046258619,0.007429924,,,
4,C: 1.5C Pathway Carbon Cap,2035,Indigenous,0.011001081,0.028708526,0.004038637,,,
5,C: 1.5C Pathway Carbon Cap,2035,Non-Latinx White,0.01447047,0.043788175,0.005439814,,,
0,C: 1.5C Pathway Carbon Cap,2040,Total,0.016304729,0.052732776,0.005972561,,,
1,C: 1.5C Pathway Carbon Cap,2040,Black,0.021626081,0.07507638,0.007632562,,,
2,C: 1.5C Pathway Carbon Cap,2040,Asian,0.016389807,0.05634573,0.006930807,,,
3,C: 1.5C Pathway Carbon Cap,2040,Latinx/Hispanic,0.018446732,0.060009416,0.008112795,,,
4,C: 1.5C Pathway Carbon Cap,2040,Indigenous,0.012599575,0.036365667,0.004203071,,,
5,C: 1.5C Pathway Carbon Cap,2040,Non-Latinx White,0.017133347,0.054313744,0.006135405,,,
0,C: 1.5C Pathway Carbon Cap,2045,Total,0.01120436,0.035892177,0.004020756,,,
1,C: 1.5C Pathway Carbon Cap,2045,Black,0.015522433,0.052134798,0.005320894,,,
2,C: 1.5C Pathway Carbon Cap,2045,Asian,0.010701143,0.037090365,0.004379947,,,
3,C: 1.5C Pathway Carbon Cap,2045,Latinx/Hispanic,0.011865111,0.038999694,0.005052537,,,
4,C: 1.5C Pathway Carbon Cap,2045,Indigenous,0.008157922,0.02390503,0.002687074,,,
5,C: 1.5C Pathway Carbon Cap,2045,Non-Latinx White,0.011782749,0.037058593,0.004159918,,,
0,C: 1.5C Pathway Carbon Cap,2050,Total,0.004950408,0.013422132,0.001616922,,,
1,C: 1.5C Pathway Carbon Cap,2050,Black,0.007246454,0.020379136,0.00222295,,,
2,C: 1.5C Pathway Carbon Cap,2050,Asian,0.004176764,0.012184289,0.001572855,,,
3,C: 1.5C Pathway Carbon Cap,2050,Latinx/Hispanic,0.005055436,0.014303093,0.002008829,,,
4,C: 1.5C Pathway Carbon Cap,2050,Indigenous,0.003772519,0.009367298,0.001126168,,,
5,C: 1.5C Pathway Carbon Cap,2050,Non-Latinx White,0.005205861,0.01390365,0.001680438,,,
0,D: 80% RE 2050 Mandate,2020,Total,0.873246323,0.85343429,0.676462483,,,
1,D: 80% RE 2050 Mandate,2020,Black,1.136139712,1.146074168,0.785651136,,,
2,D: 80% RE 2050 Mandate,2020,Asian,0.651451805,0.749650562,0.445161068,,,
3,D: 80% RE 2050 Mandate,2020,Latinx/Hispanic,0.603376967,0.66938785,0.465875544,,,
4,D: 80% RE 2050 Mandate,2020,Indigenous,0.657279718,0.587579312,0.515088436,,,
5,D: 80% RE 2050 Mandate,2020,Non-Latinx White,0.970206131,0.926871175,0.773311984,,,
0,D: 80% RE 2050 Mandate,2026,Total,0.77987707,0.756043136,0.594739164,,,
1,D: 80% RE 2050 Mandate,2026,Black,1.022764261,1.022356125,0.686345859,,,
2,D: 80% RE 2050 Mandate,2026,Asian,0.560319578,0.644730083,0.360737941,,,
3,D: 80% RE 2050 Mandate,2026,Latinx/Hispanic,0.502667017,0.552169764,0.361278161,,,
4,D: 80% RE 2050 Mandate,2026,Indigenous,0.543164753,0.48884313,0.417157294,,,
5,D: 80% RE 2050 Mandate,2026,Non-Latinx White,0.870528584,0.825432407,0.68783017,,,
0,D: 80% RE 2050 Mandate,2030,Total,0.663840195,0.652133393,0.511882436,,,
1,D: 80% RE 2050 Mandate,2030,Black,0.865339878,0.879356466,0.58665143,,,
2,D: 80% RE 2050 Mandate,2030,Asian,0.470660987,0.551673413,0.3088741,,,
3,D: 80% RE 2050 Mandate,2030,Latinx/Hispanic,0.429836739,0.479065543,0.318099514,,,
4,D: 80% RE 2050 Mandate,2030,Indigenous,0.47144575,0.429934596,0.373172556,,,
5,D: 80% RE 2050 Mandate,2030,Non-Latinx White,0.742187417,0.712573737,0.592098399,,,
0,D: 80% RE 2050 Mandate,2035,Total,0.483458334,0.489282272,0.369701229,,,
1,D: 80% RE 2050 Mandate,2035,Black,0.636526074,0.662390424,0.42466071,,,
2,D: 80% RE 2050 Mandate,2035,Asian,0.339383702,0.416435182,0.22286419,,,
3,D: 80% RE 2050 Mandate,2035,Latinx/Hispanic,0.31210974,0.367787129,0.23365245,,,
4,D: 80% RE 2050 Mandate,2035,Indigenous,0.341983751,0.328365403,0.284441305,,,
5,D: 80% RE 2050 Mandate,2035,Non-Latinx White,0.53990273,0.533259223,0.42692926,,,
0,D: 80% RE 2050 Mandate,2040,Total,0.287423141,0.314061384,0.220540962,,,
1,D: 80% RE 2050 Mandate,2040,Black,0.374973092,0.42251993,0.249508533,,,
2,D: 80% RE 2050 Mandate,2040,Asian,0.200668351,0.271529125,0.137054359,,,
3,D: 80% RE 2050 Mandate,2040,Latinx/Hispanic,0.194786661,0.251992296,0.155479748,,,
4,D: 80% RE 2050 Mandate,2040,Indigenous,0.219274027,0.227817477,0.198666065,,,
5,D: 80% RE 2050 Mandate,2040,Non-Latinx White,0.320668104,0.340873138,0.253162851,,,
0,D: 80% RE 2050 Mandate,2045,Total,0.169268132,0.202472618,0.131043806,,,
1,D: 80% RE 2050 Mandate,2045,Black,0.206634999,0.262699735,0.139281983,,,
2,D: 80% RE 2050 Mandate,2045,Asian,0.122657409,0.181312162,0.085652084,,,
3,D: 80% RE 2050 Mandate,2045,Latinx/Hispanic,0.126579874,0.175862764,0.105308403,,,
4,D: 80% RE 2050 Mandate,2045,Indigenous,0.142205556,0.158635186,0.142449833,,,
5,D: 80% RE 2050 Mandate,2045,Non-Latinx White,0.189819138,0.219745622,0.150224429,,,
0,D: 80% RE 2050 Mandate,2050,Total,0.094663272,0.123835301,0.076716538,,,
1,D: 80% RE 2050 Mandate,2050,Black,0.103862021,0.152751564,0.070212118,,9.70%,0.038068939
2,D: 80% RE 2050 Mandate,2050,Asian,0.069445351,0.111880125,0.051890757,,-26.60%,
3,D: 80% RE 2050 Mandate,2050,Latinx/Hispanic,0.074539825,0.111852444,0.068978729,,-21.30%,
4,D: 80% RE 2050 Mandate,2050,Indigenous,0.092384065,0.109819347,0.107887612,,-2.40%,
5,D: 80% RE 2050 Mandate,2050,Non-Latinx White,0.107514289,0.135038383,0.088653939,,13.60%,
0,E: 100% RE 2035 Mandate,2020,Total,0.873246323,0.85343429,0.676462483,,,
1,E: 100% RE 2035 Mandate,2020,Black,1.136139712,1.146074168,0.785651136,,,
2,E: 100% RE 2035 Mandate,2020,Asian,0.651451805,0.749650562,0.445161068,,,
3,E: 100% RE 2035 Mandate,2020,Latinx/Hispanic,0.603376967,0.66938785,0.465875544,,,
4,E: 100% RE 2035 Mandate,2020,Indigenous,0.657279718,0.587579312,0.515088436,,,
5,E: 100% RE 2035 Mandate,2020,Non-Latinx White,0.970206131,0.926871175,0.773311984,,,
0,E: 100% RE 2035 Mandate,2026,Total,0.280734392,0.314288429,0.209082891,,,
1,E: 100% RE 2035 Mandate,2026,Black,0.359150199,0.41845439,0.224649689,,,
2,E: 100% RE 2035 Mandate,2026,Asian,0.197320662,0.2777414,0.120668744,,,
3,E: 100% RE 2035 Mandate,2026,Latinx/Hispanic,0.175503627,0.242361584,0.123763345,,,
4,E: 100% RE 2035 Mandate,2026,Indigenous,0.199419881,0.214183143,0.170498926,,,
5,E: 100% RE 2035 Mandate,2026,Non-Latinx White,0.315457542,0.342166424,0.244825376,,,
0,E: 100% RE 2035 Mandate,2030,Total,0.043815558,0.085537857,0.031061836,,,
1,E: 100% RE 2035 Mandate,2030,Black,0.051651733,0.113017381,0.029114973,,,
2,E: 100% RE 2035 Mandate,2030,Asian,0.037152102,0.0874941,0.021161591,,,
3,E: 100% RE 2035 Mandate,2030,Latinx/Hispanic,0.034384606,0.081332318,0.021263628,,,
4,E: 100% RE 2035 Mandate,2030,Indigenous,0.030754307,0.055444591,0.021410219,,,
5,E: 100% RE 2035 Mandate,2030,Non-Latinx White,0.048949147,0.091304253,0.036646423,,,
0,E: 100% RE 2035 Mandate,2035,Total,0.002707773,3.66E-15,0.000998991,,,
1,E: 100% RE 2035 Mandate,2035,Black,0.004300556,2.07E-15,0.001395105,,,
2,E: 100% RE 2035 Mandate,2035,Asian,0.002352748,3.15E-15,0.001099378,,,
3,E: 100% RE 2035 Mandate,2035,Latinx/Hispanic,0.002333922,3.21E-15,0.001017144,,,
4,E: 100% RE 2035 Mandate,2035,Indigenous,0.001996046,5.50E-15,0.000742308,,,
5,E: 100% RE 2035 Mandate,2035,Non-Latinx White,0.002796619,4.34E-15,0.001027807,,,
0,E: 100% RE 2035 Mandate,2040,Total,0.005766705,6.87E-14,0.001830649,,,
1,E: 100% RE 2035 Mandate,2040,Black,0.009800897,1.09E-13,0.002834733,,,
2,E: 100% RE 2035 Mandate,2040,Asian,0.004057239,1.41E-13,0.001330264,,,
3,E: 100% RE 2035 Mandate,2040,Latinx/Hispanic,0.003633117,9.10E-14,0.001133605,,,
4,E: 100% RE 2035 Mandate,2040,Indigenous,0.003715413,3.48E-14,0.00106241,,,
5,E: 100% RE 2035 Mandate,2040,Non-Latinx White,0.006064157,6.24E-14,0.001971603,,,
0,E: 100% RE 2035 Mandate,2045,Total,0.005766705,6.87E-14,0.001830649,,,
1,E: 100% RE 2035 Mandate,2045,Black,0.009800897,1.09E-13,0.002834733,,,
2,E: 100% RE 2035 Mandate,2045,Asian,0.004057239,1.41E-13,0.001330264,,,
3,E: 100% RE 2035 Mandate,2045,Latinx/Hispanic,0.003633117,9.10E-14,0.001133605,,,
4,E: 100% RE 2035 Mandate,2045,Indigenous,0.003715413,3.48E-14,0.00106241,,,
5,E: 100% RE 2035 Mandate,2045,Non-Latinx White,0.006064157,6.24E-14,0.001971603,,,
0,E: 100% RE 2035 Mandate,2050,Total,0.006275648,1.14E-13,0.001949938,,,
1,E: 100% RE 2035 Mandate,2050,Black,0.0112229,1.80E-13,0.003263494,,,
2,E: 100% RE 2035 Mandate,2050,Asian,0.004103547,2.34E-13,0.001243247,,,
3,E: 100% RE 2035 Mandate,2050,Latinx/Hispanic,0.003835114,1.50E-13,0.001130828,,,
4,E: 100% RE 2035 Mandate,2050,Indigenous,0.004916574,5.75E-14,0.001489699,,,
5,E: 100% RE 2035 Mandate,2050,Non-Latinx White,0.006515719,1.03E-13,0.002069502,,,
0,F: 100% RE 2050 Mandate,2020,Total,0.873246323,0.85343429,0.676462483,,,
1,F: 100% RE 2050 Mandate,2020,Black,1.136139711,1.146074168,0.785651136,,,
2,F: 100% RE 2050 Mandate,2020,Asian,0.651451805,0.749650562,0.445161068,,,
3,F: 100% RE 2050 Mandate,2020,Latinx/Hispanic,0.603376967,0.66938785,0.465875544,,,
4,F: 100% RE 2050 Mandate,2020,Indigenous,0.657279718,0.587579312,0.515088435,,,
