"Dim1","Dim2","Dim3","Val"
"battery","p15","2050",-59135.2142140758
"battery","p16","2028",-361.921883369296
"battery","p16","2030",-92.3643342950108
"battery","p16","2035",-7224.9492559268
"battery","p16","2040",-4890.73116090217
"battery","p16","2045",-75168.9904435169
"battery","p16","2050",-34905.3049905276
"battery","p17","2028",-1.81525570791057
"battery","p17","2030",-1.22133538134826
"battery","p17","2035",-1393.13406533801
"battery","p17","2040",-11039.7197586746
"battery","p17","2045",-6780.40396482091
"battery","p17","2050",-17229.5074786379
"battery","p18","2026",-899.778289957306
"battery","p18","2028",-8889.64301851787
"battery","p18","2030",-8212.55326893346
"battery","p18","2035",-25748.1835226577
"battery","p18","2040",-249083.160204127
"battery","p18","2045",-216962.540572417
"battery","p18","2050",-153512.780515786
"battery","p19","2026",-2353.86714028244
"battery","p19","2028",-977.918710907077
"battery","p19","2030",-2272.50280835854
"battery","p19","2035",-2211.39507314088
"battery","p19","2040",-7853.88275343294
"battery","p19","2045",-7677.28089281957
"battery","p19","2050",-7317.20112197292
"battery","p20","2026",-435.563303629674
"battery","p20","2028",-619.845555505861
"battery","p20","2030",-1862.08199278652
"battery","p20","2035",-27924.2860793015
"battery","p20","2040",-58256.9509023852
"battery","p20","2045",-44320.5775851376
"battery","p20","2050",-45826.3944615559
"battery","p21","2026",-5570.01901189355
"battery","p21","2028",-40821.4690940704
"battery","p21","2030",-46171.1372920439
"battery","p21","2035",-215439.415900012
"battery","p21","2040",-146862.162001772
"battery","p21","2045",-147534.172567162
"battery","p21","2050",-117654.516524913
"battery","p22","2040",-10754.6717015017
"battery","p22","2045",-4227.03400644188
"battery","p22","2050",-5480.33609261333
"battery","p23","2040",-3478.88642932589
"battery","p23","2045",-2847.96409113225
"battery","p23","2050",-6812.67652353782
"battery","p24","2035",-33673.6765982415
"battery","p24","2040",-243417.342164551
"battery","p24","2045",-523946.996729334
"battery","p24","2050",-399823.785152893
"battery","p25","2028",-3562.39786863015
"battery","p25","2030",-1756.02531325306
"battery","p25","2035",-12355.9354245366
"battery","p25","2040",-48920.6994960325
"battery","p25","2045",-98987.9967905912
"battery","p25","2050",-80783.2231713288
"battery","p26","2035",-1532.10208901779
"battery","p26","2040",-1941.30748411112
"battery","p26","2045",-12265.9889597008
"battery","p26","2050",-4146.44739108267
"battery","p27","2035",-39641.4595768918
"battery","p27","2040",-149378.18248999
"battery","p27","2045",-104541.072627118
"battery","p27","2050",-271155.246362329
"battery","p28","2026",-3586.92501081081
"battery","p28","2028",-5004.37597297297
"battery","p28","2030",-3586.92501081081
"battery","p28","2040",-120791.933464015
"battery","p28","2045",-314159.021450662
"battery","p28","2050",-185802.649550321
"battery","p29","2035",-1035.05367481797
"battery","p29","2040",-16500.4878037964
"battery","p29","2045",-144182.690872971
"battery","p29","2050",-511263.438056345
"battery","p30","2022",-833.899495545915
"battery","p30","2024",-7368.20805405405
"battery","p30","2026",-8124.86967567567
"battery","p30","2028",-8124.86967567567
"battery","p30","2030",-8330.24255131027
"battery","p30","2035",-43922.3630285395
"battery","p30","2040",-134027.28331303
"battery","p30","2045",-139210.722312694
"battery","p30","2050",-95782.7476302405
"battery","p31","2014",-5.66180454015583
"battery","p31","2016",-139.515792
"battery","p31","2018",-525.779589574252
"battery","p31","2020",-1286.33242378378
"battery","p31","2022",-2409.97393370823
"battery","p31","2024",-2054.21099541101
"battery","p31","2026",-2490.72495567567
"battery","p31","2028",-691.868043243244
"battery","p31","2030",-691.868043243244
"battery","p31","2035",-581962.378976651
"battery","p31","2040",-733388.7408144
"battery","p31","2045",-620331.874775255
"battery","p31","2050",-693575.718453392
"battery","p32","2040",-474.82642715233
"battery","p32","2045",-1248.02430104234
"battery","p32","2050",-2095.67056241894
"battery","p33","2026",-167.613308108108
"battery","p33","2028",-473.14997027027
"battery","p33","2030",-4514.44689544201
"battery","p33","2035",-56203.7254702439
"battery","p33","2040",-518759.628944023
"battery","p33","2045",-491372.542197996
"battery","p33","2050",-167921.756198212
"battery","p34","2026",-31157.5967560521
"battery","p34","2028",-334415.424267441
"battery","p34","2030",-567313.501462831
"battery","p34","2035",-641720.056963161
"battery","p34","2040",-633682.736175618
"battery","p34","2045",-1129715.20406873
"battery","p34","2050",-623670.057255244
"battery","p35","2050",-263.691375297983
"battery","p36","2040",-18794.4096490671
"battery","p36","2045",-20927.1963153486
"battery","p36","2050",-48602.9133560324
"battery","p37","2030",-5736.74692085996
"battery","p37","2035",-46473.5665714821
"battery","p37","2040",-263353.795556724
"battery","p37","2045",-166675.002214064
"battery","p37","2050",-630.306234144278
"battery","p38","2040",-152216.811691116
"battery","p38","2045",-142652.156447734
"battery","p38","2050",-132233.513839541
"battery","p39","2035",-3516.88301112753
"battery","p39","2040",-13428.3179913489
"battery","p39","2045",-154126.869235152
"battery","p39","2050",-289978.175750875
"battery","p40","2035",-50022.3795389347
"battery","p40","2040",-236945.850312996
"battery","p40","2045",-283690.717332889
"battery","p40","2050",-216311.326493784
"battery","p41","2035",-3171.53286538331
"battery","p41","2040",-167781.625835626
"battery","p41","2045",-459962.279598763
"battery","p41","2050",-144098.48197577
"battery","p42","2030",-22444.973482447
"battery","p42","2035",-12732.8132459252
"battery","p42","2040",-12067.6317525668
"battery","p42","2045",-839.181612666833
"battery","p42","2050",-566.463626996168
"battery","p43","2030",-8410.59239935688
"battery","p43","2035",-81759.9018980176
"battery","p43","2040",-83762.8554552272
"battery","p43","2045",-116330.660380895
"battery","p43","2050",-6523.4375501258
"battery","p44","2014",-213.894144965074
"battery","p44","2016",-172.776465653519
"battery","p44","2018",-88.32
"battery","p44","2020",-406.064033704293
"battery","p44","2022",-425.295849920509
"battery","p44","2024",-469.783224324324
"battery","p44","2026",-499.689891891892
"battery","p44","2028",-499.689891891892
"battery","p44","2040",-56895.3315102213
"battery","p44","2045",-54296.4462645238
"battery","p44","2050",-455.751714507999
"battery","p45","2035",-88224.2437480672
"battery","p45","2040",-293500.233157702
"battery","p45","2045",-278986.094022202
"battery","p45","2050",-410200.191355355
"battery","p46","2030",-2749.28121749687
"battery","p46","2035",-2397.2720824716
"battery","p46","2040",-2771.89839895886
"battery","p46","2045",-7294.42439243056
"battery","p46","2050",-4658.94081997751
"battery","p47","2040",-27774.8668646871
"battery","p47","2045",-59864.0817244595
"battery","p47","2050",-79717.6613753494
"battery","p48","2040",-79139.9230511588
"battery","p48","2045",-597301.117075579
"battery","p48","2050",-861095.370119723
"battery","p49","2045",-75913.0884925523
"battery","p49","2050",-57204.4960643316
"battery","p50","2040",-369992.943721606
"battery","p50","2045",-1835572.64406325
"battery","p50","2050",-1499149.23639335
"battery","p51","2045",-455918.47887762
"battery","p51","2050",-84889.9530685742
"battery","p52","2040",-30029.6675356766
"battery","p52","2045",-51091.9030811391
"battery","p52","2050",-44260.0158436857
"battery","p53","2040",-510530.796464914
"battery","p53","2045",-569729.051875752
"battery","p53","2050",-1056259.48854911
"battery","p54","2012",-394.331089213605
"battery","p54","2014",-330.036999965405
"battery","p54","2016",-464.048614794796
"battery","p54","2018",-691.868043243243
"battery","p54","2020",-691.868043243243
"battery","p54","2024",-502.335437837818
"battery","p54","2026",-438.550460915354
"battery","p54","2035",-5706.82990990192
"battery","p54","2040",-65841.6109335072
"battery","p54","2045",-482670.895827161
"battery","p54","2050",-460506.226023584
"battery","p55","2024",-8.30117647058824
"battery","p55","2026",-8.30117647058824
"battery","p55","2028",-8.30117647058823
"battery","p55","2030",-37.1489007949125
"battery","p55","2045",-221326.114154811
"battery","p55","2050",-311732.427368034
"battery","p56","2040",-16381.7312622888
"battery","p56","2045",-247096.299268581
"battery","p56","2050",-279715.88782655
"battery","p57","2045",-148591.340521864
"battery","p57","2050",-221475.71439137
"battery","p58","2018",-3.45882352941176
"battery","p58","2026",-58.2942948648649
"battery","p58","2028",-58.2942948648649
"battery","p58","2030",-77.3218870244931
"battery","p58","2045",-12427.852643301
"battery","p58","2050",-15364.8415436563
"battery","p59","2014",-10.5616426896128
"battery","p59","2016",-0.321974189243075
"battery","p59","2018",-108.894237871245
"battery","p59","2020",-263.327466965669
"battery","p59","2022",-335.402152137218
"battery","p59","2024",-404.667105405405
"battery","p59","2035",-18278.7015839672
"battery","p59","2040",-50244.7860776695
"battery","p59","2045",-43060.0014294772
"battery","p59","2050",-214347.584401079
"battery","p60","2018",-5736.90171637917
"battery","p60","2020",-20189.1589105157
"battery","p60","2022",-17432.0743179378
"battery","p60","2024",-31406.639611594
"battery","p60","2026",-29760.1016666764
"battery","p60","2028",-35168.4318377279
"battery","p60","2030",-32459.0343305966
"battery","p60","2040",-126928.698205782
"battery","p60","2045",-495739.38918485
"battery","p60","2050",-467107.081054759
"battery","p61","2010",-421.999341176471
"battery","p61","2012",-228.255143107203
"battery","p61","2014",-312.192184790227
"battery","p61","2016",-513.562426855936
